Component ID,Component Type,Deployment Area,Risky,Longitude,Latitude,Point1,Point2,Road Geometric,Lightning,WBGT,Visibility,,
C130-C97,Path,CARTIER,Beginner,,,C130,C97,,,118.75,87.25,118.56,86.93
C97-C98,Path,CARTIER,Beginner,,,C97,C98,,,118.56,86.93,119.87,86.33
C98-C99,Path,CARTIER,Beginner,,,C98,C99,,,119.87,86.33,119.88,85.93
C99-C96,Path,CARTIER,Beginner,,,C99,C96,,,119.88,85.93,120.06,85.56
C96-C94,Path,CARTIER,Beginner,,,C96,C94,,,120.06,85.56,119.25,85.4
C96-C95,Path,CARTIER,Beginner,,,C96,C95,,,120.06,85.56,119.56,84.6
C95-C64,Path,CARTIER,Beginner,,,C95,C64,,,119.56,84.6,120.12,83.8
C66-C87,Path,SERPENTINE,Beginner,,,C66,C87,,,113.07,81.52,113.55,81.64
C87-C88,Path,SERPENTINE,Beginner,,,C87,C88,,,113.55,81.64,113.34,81.5
C62-C61,Path,MELODY,Beginner,,,C62,C61,,,121.23,80.62,121.7,80.06
C61-C92,Path,MELODY,Beginner,,,C61,C92,,,121.7,80.06,122.25,79.86
C92-C91,Path,MELODY,Beginner,,,C92,C91,,,122.25,79.86,122.81,79.93
C61-C60,Path,MELODY,Beginner,,,C61,C60,,,121.7,80.06,121.76,79.53
C60-C59,Path,MELODY,Beginner,,,C60,C59,,,121.76,79.53,121.64,79.06
C55-C54,Path,SPIKE,Beginner,,,C55,C54,,,126.05,80.5,127.15,80.27
C54-C53,Path,SPIKE,Beginner,,,C54,C53,,,127.15,80.27,127.42,79.88
C53-C52,Path,SPIKE,Beginner,,,C53,C52,,,127.42,79.88,127.84,79.55
C52-C51,Path,SPIKE,Beginner,,,C52,C51,,,127.84,79.55,128.42,79.52
C51-S1,Path,SPIKE,Beginner,,,C51,S1,,,128.42,79.52,128.52,79.2
S1-S2,Path,SPIKE,Beginner,,,S1,S2,,,128.52,79.2,128.42,78.52
S2-S3,Path,SPIKE,Beginner,,,S2,S3,,,128.42,78.52,128.71,77.78
S3-S4,Path,SPIKE,Beginner,,,S3,S4,,,128.71,77.78,128.76,76.89
C51-C50,Path,SPIKE,Beginner,,,C51,C50,,,128.42,79.52,128.42,80.47
C50-C49,Path,SPIKE,Beginner,,,C50,C49,,,128.42,80.47,129.19,81.2
C49-C48,Path,SPIKE,Beginner,,,C49,C48,,,129.19,81.2,129.8,81.78
S70-S71,Path,YAOHAN,Beginner,,,S70,S71,,,122.12,78.41,122.24,78
S71-S72,Path,YAOHAN,Beginner,,,S71,S72,,,122.24,78,122.4,77.37
S72-S73,Path,YAOHAN,Beginner,,,S72,S73,,,122.4,77.37,123.08,76.91
S73-S74,Path,YAOHAN,Beginner,,,S73,S74,,,123.08,76.91,123.08,75.7
S74-S75,Path,YAOHAN,Beginner,,,S74,S75,,,123.08,75.7,126,74.5
S74-S75,Path,YAOHAN,Hard,,,S74,S75,,,123.08,75.7,126,74.5
S75-S76,Path,YAOHAN,Beginner,,,S75,S76,,,126,74.5,126.32,74.08
R60-R61,Path,KENNEX,Beginner,,,R60,R61,,,131.88,85.12,132.05,85.11
R61-R63,Path,KENNEX,Beginner,,,R61,R63,,,132.05,85.11,133,85.25
R63-C42,Path,KENNEX,Beginner,,,R63,C42,,,133,85.25,133.05,84.87
